lyrics,Emotion
"আবার ফিরে পাই 
পুরোনো স্মৃতি নতুন গানে 
স্মৃতির পাতাতে দেখি তোমার ছবি
কেটে গেছে যে কত মুহূর্ত 
তোমায় ভেবে ",nostalgia
"মেঘের ঐ দেশে কি হারাও আনমনে 
বৃষ্টির ঐ ছোঁয়াতে
 কি আমায় খোঁজো এখনও ",nostalgia
"যখন চাঁদ ঘুমিয়ে পরে
আধাঁর আকাশ টা কে ফেলে
শুধু আমি জেগে থাকি তোমার ছবি বুকে নিয়ে
চেয়ে থাকি আকাশের তারায়
মিলিয়ে যায় সব যেনো কোথায়
জানি এই রাত শেষে ফিরবে না তুমি আর",sadness
"বৃষ্টি ভেজা এই শরীরে
কান্না দেখে না কেউ আমার
অন্ধকার এই ঘরে ডাকি না কাওকে যে
পড়িনা আর সেই কবিতা
দেখিনা যে আর জোছনা
অনুভূতিহীন দেয়ালে বন্দী আমি যেন একা",sadness
"ভেঙ্গে যাক তোমার আমার মাঝের ঐ দেয়ালটা
এই যে দেখো দাড়িয়ে আমি তোমার হাত ধরবো বলে",happiness
"চাইতেই পারো আমার ঘাড়ে পা রেখে
আকাশটা ছোয়ার স্বপ্ন দেখতে
চাইতেই পারো শুনতে নতুন এক গান
করবো না যেখানে তোমায় আর অপমান",happiness
"এক মুঠো গোলাপ আর ঐ নীল আকাশ
আকাশের ঐ চাঁদ অথবা এই রাত
কান্না ভেজা চোখ অথবা মিষ্টি হাসি
যতই দেখাও আমাকে পাবেনা কিছুই তুমি",anger
"চাইতেই পারো তুমি G-series থেকে
ফুয়াদ ফিচারিং এলবাম ছাড়তে
চাইতেই পারো চেষ্টা করে দেখতে
কে আছে আমার ফেসবুক ফ্রেন্ডসলিস্টে",happiness
"এক মুঠো গোলাপ আর ঐ নীল আকাশ
আকাশের ঐ চাঁদ অথবা এই রাত
কান্না ভেজা চোখ অথবা মিষ্টি হাসি
যতই দেখাও আমাকে পাবেনা কিছুই তুমি
তোমার জন্য নয় আমার কোনো কিছুই
বলেছিলাম অনেক আগেই ভুলে গেছ কি?",anger
"কান্না ভেজা চোখ অথবা মিষ্টি হাসি
যতই দেখাও আমাকে পাবেনা কিছুই তুমি
তোমার জন্য নয় আমার কোনো কিছুই
বলেছিলাম অনেক আগেই ভুলে গেছ কি?",sadness
"বিধাতার স্পর্শে জাগা নতুন দিনেরই খোঁজে
আজ মিশে যাই অহংকারের আঁধারে
জাগে অসহায় একাকী
নীল শীতের কামড়ে",sadness
"জাগে নদী
নিকষ কালো ছবি
অবাক পৃথিবী
মিছে যেন সবি
সময়ের চাকা
মাটির রোদে আঁকা
আমার বেঁচে থাকা
অসীম বিস্ময় মাখা",nostalgia
"ভেজানো দরজার শীতল ছায়ারই পাশে
কে যেন নিটোল পায়ে দাড়িয়ে
এ কেমন অস্থিরতারই ধ্বনি
নিয়ে আমরা",sadness
"বেঁচে থাকি ক্রোধে
নিয়তির কাঁধে
অসীমের মাঝে
হারানো কোন সাঁজে
সময়ের চাকা
মাটির রোদে আঁকা
আমার বেঁচে থাকা
অসীম বিস্ময়",anger
"চেনা সুখ হারিয়ে যায়
যত দুঃখ খোঁজে আমায়
ঝরনার স্রোতেরই পর
কেন ওঠে কালো ঝড়",sadness
"গোধূলীর আলোয় হেঁটে চলি
আমি স্বপ্ন ফেরী করি
তোমার ঐ নিঃসঙ্গ ঘাটে
ভিড়েছে আমার স্বপ্নতরী
গোধূলীর আলোয় হেঁটে চলি
আমি স্বপ্ন ফেরী করি",nostalgia
"মাথার ভেতরে ধোঁয়া
দেখি শুধু তোমারই ছায়া
আমি আছি কিনা নেই তোমাদের মাঝে
জানি না এ এক কোন মায়া
মরে মরে বেঁচে থাকা
তুমি মোর অস্তিত্বের পোকা",sadness
"কোনো এক সকালে জানি হারিয়ে যাবো
দিয়ে তোমাদের ধোঁকা
ধোঁয়ার কামড় আজ বুকে এসে বাঁধে
তোমার প্রিয় গানগুলো আজও শুনি মাঝে মাঝে
ধোঁয়াই স্বপ্ন গড়ে, স্পর্শ ভাঙে
ধোঁয়ায় মোর দুঃখগুলো আড়মোরে রাঙে",sadness
"আমার ঘরে অন্ধকার
সুবাসে ভরানো চিৎকার
ধোঁয়ায় হারানো আমি বলো কী করে আজ
শিখবো ভুল স্বীকার",sadness
"পথহারা এলোমেলো ভাবনা
সাদাকালো তোমার আল্পনা
দুঃস্বপ্নের ঘোরে ঘুম ভেঙে চেয়ে দেখি
মিথ্যে আমার চেতনা",sadness
